Beer_type,Rating,std
Hard Seltzer,4.293571428571428,0.21801930552686757
Mead - Other,4.263846153846154,0.36200505817154
Mead - Melomel,4.2463461538461535,0.2478774906623713
Strong Ale - American,4.184375,0.33679911463218143
Lambic - Framboise,4.175714285714286,0.2901762906153058
Stout - Imperial / Double,4.1533001658374795,0.221621885113487
Stout - Imperial / Double Coffee,4.146843853820598,0.17747207912917445
IPA - Quadruple,4.144210526315789,0.18440014625877107
IPA - Triple New England / Hazy,4.144169381107492,0.15358529162819506
Stout - Imperial / Double Pastry,4.131840277777777,0.19410123255690132
Barleywine - English,4.117053140096618,0.26283279796611
IPA - Triple,4.102177419354839,0.27713857437150125
Stout - Imperial / Double Oatmeal,4.098524590163934,0.2600245890012057
Lambic - Fruit,4.098315068493151,0.22763659440914288
Strong Ale - Other,4.086981132075472,0.2363145305085221
Wild Ale - American,4.076774193548387,0.1690653185060718
IPA - Imperial / Double New England / Hazy,4.072432223082882,0.16921790644046178
Stout - Imperial / Double Milk,4.072328767123287,0.19292679010225405
Porter - Imperial / Double Coffee,4.062307692307693,0.22472775552335347
Dark Ale,4.059230769230769,0.4017354659665793
Barleywine - Other,4.058295819935692,0.25527339414177935
Old / Stock Ale,4.056666666666667,0.2131948229210204
Lambic - Gueuze,4.0564735772357725,0.2601155219394324
Lambic - Traditional,4.040211267605634,0.27562043051289253
Stout - Russian Imperial,4.03804945054945,0.1979433866659004
Sour - Smoothie / Pastry,4.0361310452418095,0.22235530756047164
Porter - Imperial / Double,4.03580459770115,0.2148320671793794
Barleywine - American,4.029,0.23914909680530524
Lambic - Other,3.996576576576577,0.1930637930157495
Wild Ale - Other,3.9956432246998284,0.18396237191234982
IPA - Imperial / Double,3.9932326283987916,0.23812582066591623
Porter - Imperial / Double Baltic,3.985,0.19035055380358984
Lambic - Kriek,3.9836885245901636,0.29529238118939366
Farmhouse Ale - Bière de Coupage,3.9555555555555553,0.20081245236698098
Rye Wine,3.9555172413793107,0.17187175881404287
Freeze-Distilled Beer,3.9441666666666664,0.3717688216319231
Wheat Beer - Wheat Wine,3.937755102040816,0.22600023327903207
IPA - New Zealand,3.9370212765957446,0.21643268753383238
Farmhouse Ale - Other,3.9209836065573773,0.2227046735698657
Brown Ale - Imperial / Double,3.9127906976744184,0.20595105268457
IPA - Sour,3.911834862385321,0.2623545986637688
Grape Ale - Italian,3.900555555555555,0.18261087597989284
IPA - New England / Hazy,3.899886010362694,0.17956368829935013
Sour - Other,3.8891727493917276,0.2058635513930975
Stout - Pastry,3.884444444444444,0.2653382018683259
Farmhouse Ale - Brett,3.883703703703704,0.3075729825604643
Farmhouse Ale - Saison,3.876153846153846,0.2895036542633663
Sour - Fruited,3.8749902723735405,0.23750344619592387
Farmhouse Ale - Grisette,3.8701999999999996,0.23278693069423123
IPA - Farmhouse,3.8636363636363638,0.2236189941517816
Red Ale - Imperial / Double,3.8629411764705885,0.2502190217060433
Stout - Belgian,3.8605714285714288,0.3179894824115567
Grape Ale - Other,3.8556521739130436,0.2542857652262498
Belgian Quadrupel,3.855645569620253,0.2353769542850246
IPA - Milkshake,3.8542105263157898,0.22805442189455885
Sour - Flanders Oud Bruin,3.85,0.19914818603241166
Stout - American,3.8438709677419354,0.2861547066344223
Cider - Other Fruit,3.841494252873563,0.22853185995195086
Sour - Flanders Red Ale,3.828728813559322,0.23227064456163202
Stout - Milk / Sweet,3.8283809523809524,0.24376108972612673
Stout - Coffee,3.820655737704918,0.25907443494395604
Mead - Braggot,3.817391304347826,0.29153539300656817
IPA - Imperial / Double Milkshake,3.8148,0.22045634488487764
Cider - Graff,3.813846153846154,0.33156690936312583
Pale Ale - New England / Hazy,3.8099632352941173,0.16135381617402877
Belgian Strong Dark Ale,3.8035897435897437,0.21439797929996537
Sour - Fruited Berliner Weisse,3.7998058252427183,0.26727160053718
Porter - Baltic,3.790285714285714,0.18838729324646292
IPA - Brett,3.7886666666666664,0.23286619906432687
Grodziskie / Grätzer,3.7763636363636364,0.2749280897715884
Strong Ale - English,3.7680000000000002,0.20213856633507607
Winter Warmer,3.7664285714285715,0.317281297278594
Stout - Other,3.765161290322581,0.30339962491459505
Scotch Ale / Wee Heavy,3.7645652173913042,0.3472540313932158
Historical Beer - Gruit / Ancient Herbed Ale,3.7641666666666667,0.23163464751430865
IPA - American,3.7592752100840334,0.20811607993776576
Rye Beer,3.7509090909090905,0.31287232365469936
IPA - Rye,3.7473684210526317,0.1603760201409715
Porter - Coffee,3.746153846153846,0.2572462653288499
Cream Ale,3.7431578947368425,0.16034866979938658
Sour - Fruited Gose,3.7323076923076925,0.23832068674192775
Farmhouse Ale - Bière de Garde,3.7302500000000003,0.2451110423398404
Brett Beer,3.7275609756097556,0.3685158102972305
IPA - Imperial / Double Black,3.727333333333333,0.18273582284921844
Stout - Foreign / Export,3.7213953488372096,0.2308842360449108
Pale Ale - XPA (Extra Pale),3.7189473684210523,0.10749132971971397
Pilsner - New Zealand,3.7155555555555555,0.1814718329212302
Bière de Champagne / Bière Brut,3.705483870967742,0.25818389711828044
IPA - Other,3.6926845637583896,0.22435683110954702
Bock - Eisbock,3.6907894736842106,0.3294088200048883
Brown Ale - American,3.6870588235294117,0.19396406580480158
Belgian Strong Golden Ale,3.686194968553459,0.19408359374923304
Pale Ale - New Zealand,3.681363636363636,0.1724693334934388
IPA - Fruited,3.677619047619048,0.26314876935592896
Sour - Other Gose,3.673,0.2848974407118076
Bock - Weizendoppelbock,3.6723076923076925,0.14216350283550824
Pale Ale - American,3.670747126436782,0.2152768189595531
Cider - Dry,3.67,0.265598381019162
Stout - Oatmeal,3.669545454545455,0.2818209438587965
IPA - Cold,3.6665909090909095,0.11996013255996979
Porter - Smoked,3.6656,0.2582969866903857
Pale Ale - Milkshake,3.660769230769231,0.06933752452815367
Pumpkin / Yam Beer,3.657916666666667,0.3334402908111615
IPA - Black / Cascadian Dark Ale,3.6574418604651164,0.15054018642804184
Cider - Perry / Poiré,3.652857142857143,0.3050454839081333
IPA - Red,3.65,0.17765838004439877
Bock - Doppelbock,3.6441326530612246,0.24926509985401651
Table Beer,3.643125,0.35448679396667826
Belgian Tripel,3.6386438356164383,0.17894354428181414
Cider - Herbed / Spiced / Hopped,3.6359090909090908,0.24597055748913366
Winter Ale,3.6357500000000003,0.2476545321523463
Sour - Traditional Gose,3.633157894736842,0.24727520951313772
Porter - Other,3.6328947368421054,0.21861879022306488
Smoked Beer,3.6316,0.300896992341233
Cider - Traditional / Apfelwein,3.6310606060606063,0.19453398981533587
Lager - Other,3.613142857142857,0.2564436806484766
Porter - American,3.6103846153846155,0.19773681031574833
Wheat Beer - Hopfenweisse,3.6066666666666665,0.1528951375188991
IPA - Session,3.601991341991342,0.16784159176054347
IPA - White / Wheat,3.6015686274509804,0.1401766392665996
Stout - English,3.598888888888889,0.17921032299865158
Porter - English,3.596388888888889,0.2169812734220927
Lager - Polotmavé (Czech Amber),3.5963636363636367,0.1963808914977589
Schwarzbier,3.5925,0.19598267914873446
Pilsner - Italian,3.5923529411764705,0.1949849164603735
Sour - Berliner Weisse,3.5900000000000003,0.3458078235775727
Stout - Irish Dry,3.5829999999999997,0.24376533482334695
Belgian Dubbel,3.581948717948718,0.20338703502531597
IPA - English,3.581363636363636,0.20750893163899406
IPA - Brut,3.578333333333333,0.09759222522436103
Lager - IPL (India Pale Lager),3.575625,0.19193201644376637
Cider - Sweet,3.565,0.21093442898999057
Pale Ale - Belgian,3.560919540229885,0.21384972002150146
IPA - Belgian,3.555462962962963,0.13323006774706098
Rauchbier,3.5533870967741934,0.2216846345776507
Lager - Japanese Rice,3.5500000000000003,0.22425634682414028
Brown Ale - English,3.5494117647058827,0.16524491626958193
Pale Ale - English,3.548620689655172,0.16636285939241863
Bitter - Best,3.5435714285714286,0.23176935295036952
Red Ale - Other,3.5425,0.2694315002618168
Gluten-Free,3.538709677419355,0.4066812281362064
Blonde / Golden Ale - English,3.536153846153846,0.09674179220468451
Bitter - Extra Special / Strong (ESB),3.535263157894737,0.15247471269589558
Bock - Weizenbock,3.5318181818181817,0.25162054050875854
Pale Ale - Other,3.5316901408450705,0.15857387566766998
Kölsch,3.5300000000000002,0.20241138893444302
Mild - Dark,3.5284210526315785,0.1786760929694579
Non-Alcoholic - Sour,3.524193548387097,0.2651232215039738
Wheat Beer - Hefeweizen,3.5236486486486487,0.16562161250144064
Wheat Beer - Dunkelweizen,3.5236363636363635,0.15562463649481642
Lager - Světlé (Czech Pale),3.520769230769231,0.24867855886872453
Bock - Hell / Maibock / Lentebock,3.516896551724138,0.20486372789111462
Wheat Beer - Other,3.507142857142857,0.1478451928816121
Festbier,3.5040740740740737,0.14553159259914822
Lager - American Light,3.5011764705882356,0.265044391398431
Lager - Rotbier,3.4866666666666664,0.23350333942753276
Lager - Dortmunder / Export,3.4855555555555555,0.14452769273829133
Pilsner - Other,3.484817518248175,0.28404924539329685
Märzen,3.4833870967741936,0.20736396724779496
Wheat Beer - Fruited,3.483142857142857,0.253780491399804
Fruit Beer,3.482680412371134,0.275923378505785
Belgian Enkel / Patersbier,3.4770370370370367,0.1095731162569898
Wheat Beer - Witbier / Blanche,3.4744545454545452,0.15438542981171713
Lambic - Faro,3.473478260869565,0.173692745848738
Lager - Munich Dunkel,3.47171875,0.16130966657874535
Kellerbier / Zwickelbier,3.4693661971830982,0.1447532250218638
Wheat Beer - American Pale Wheat,3.4672727272727273,0.1633491798126166
Belgian Blonde,3.4662536023054753,0.15276384058840994
Lager - Helles,3.4614776632302404,0.13819607016732813
Red Ale - American Amber / Red,3.4596666666666667,0.14540035889851197
Altbier - Traditional,3.4507692307692306,0.24476047946450075
Historical Beer - Other,3.444,0.1827879333310286
Bock - Single / Traditional,3.4407096774193544,0.14421804234182434
Lager - Dark,3.438947368421053,0.49388364280625746
Blonde / Golden Ale - Other,3.4339449541284406,0.16602436303713777
Pilsner - German,3.4298876404494383,0.18967408492054538
Lager - Pale,3.4187234042553194,0.3032047451538504
Lager - American,3.418125,0.36015216691467145
Pilsner - Czech / Bohemian,3.4164150943396225,0.21562159107336673
Lager - Vienna,3.416,0.11889689057429258
Lager - Mexican,3.4104166666666664,0.24028025605379102
Brown Ale - Belgian,3.40675,0.12666101539350155
Honey Beer,3.401304347826087,0.18653062989581118
Red Ale - Irish,3.399047619047619,0.13307534564692156
Shandy / Radler,3.3926666666666665,0.31080101789935105
Pale Ale - Fruited,3.3915151515151516,0.26974665442922097
Lager - Amber / Red,3.36625,0.07710382610480501
Spiced / Herbed Beer,3.316829268292683,0.33240366291897455
Lager - Winter,3.3065384615384614,0.2896058329204342
Non-Alcoholic - IPA,3.294263157894737,0.24477661603423365
Non-Alcoholic - Pale Ale,3.265671641791045,0.22936819599748887
Non-Alcoholic - Shandy / Radler,3.1736842105263157,0.33586059486234227
Non-Alcoholic - Porter / Stout,3.153611111111111,0.12092861596301405
Non-Alcoholic - Other,3.047473684210526,0.24098630852365172
Non-Alcoholic - Wheat,3.0421666666666667,0.18793337862726753
Non-Alcoholic - Lager,2.9457534246575343,0.2859385997038681
